State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS,SUBGRID,el_src_h1,el_sit_h1,el_sit_sub_h1,el_del_h1,el_src_c1,el_sit_c1,el_sit_sub_c1,el_del_c1,ng_src_h1,ng_sit_h1,ng_del_h1,ng_src_c1,ng_sit_c1,ng_del_c1,el_src_h2,el_sit_h2,el_sit_sub_h2,el_del_h2,el_src_c2,el_sit_c2,el_sit_sub_c2,el_del_c2,ng_src_h2,ng_sit_h2,ng_del_h2,ng_src_c2,ng_sit_c2,ng_del_c2,el_sit_t1,ng_sit_t1,el_sit_t2,ng_sit_t2,STATE,h1_emissions,c1_emissions,t1_emissions,h2_emissions,c2_emissions,t2_emissions,h1_cost,c1_cost,t1_cost,h2_cost,c2_cost,t2_cost,emissions_comparison,cost_comparison,h1_cop,elec_price,ng_price,ratio_price,grid_emissions
AR,G0501330,Texarkana Webb Field,723418,33.45,-94,71854,5133,SRMV,3.82,1.21,0.23,3.96,11.64,3.67,0.05,22.65,0,0,0,0,0,0,0,0,0.22,0,11.13,3.51,0.03,22.85,4.57,4.22,4.01,0,0,0,34.57,18.93,33.18,23.15,AR,0.000155326,0.000395864,0.00055119,0.000211628,0.000378606,0.000590234,0.027965495,0.084820965,0.112786461,0.047364712,0.081123048,0.128487761,-0.066150088,-0.122200746,3.272727273,24.38452521,11.84185149,2.059181812,0.108
AR,G0501350,Batesville  Awos,723448,35.73,-91.65,72501,5135,SRMV,11.01,3.47,0.355,9.38,6.44,2.03,0.145,12.62,0,0,0,0,0,0,0,0,0.32,0,6.12,1.93,0.07,12.74,10.88,10.04,9.54,0,0,0,35.43,19.06,31.74,29.1,AR,0.000412583,0.000218966,0.000631549,0.000503494,0.000208179,0.000711673,0.080198569,0.046917319,0.127115888,0.112687609,0.044606121,0.15729373,-0.112585428,-0.191856611,2.703170029,24.38452521,11.84185149,2.059181812,0.108
AR,G0501370,Batesville  Awos,723448,35.73,-91.65,72501,5137,SRMV,11.01,3.47,0.355,9.38,6.44,2.03,0.145,12.62,0,0,0,0,0,0,0,0,0.32,0,6.12,1.93,0.07,12.74,10.88,10.04,9.54,0,0,0,35.43,19.06,31.74,29.1,AR,0.000412583,0.000218966,0.000631549,0.000503494,0.000208179,0.000711673,0.080198569,0.046917319,0.127115888,0.112687609,0.044606121,0.15729373,-0.112585428,-0.191856611,2.703170029,24.38452521,11.84185149,2.059181812,0.108
AR,G0501390,El Dorado Goodwin Field,723419,33.22,-92.82,,5139,SRMV,4.97,1.57,0.255,4.69,11.23,3.54,0.065,20.37,0,0,0,0,0,0,0,0,0.245,0,10.85,3.43,0.035,20.55,5.42,5,4.75,0,0,0,34.85,18.97,33.12,23.97,AR,0.000196854,0.000381842,0.000578696,0.000250744,0.000369977,0.000620721,0.036285808,0.081816408,0.118102216,0.056119327,0.07927409,0.135393417,-0.067704085,-0.127710799,2.987261146,24.38452521,11.84185149,2.059181812,0.108
AR,G0501410,Little Rock Afb,723405,34.92,-92.15,72099,5141,SRMV,11.69,3.69,0.335,9.99,8.48,2.68,0.155,16.96,0,0,0,0,0,0,0,0,0.305,0,8.08,2.55,0.075,17.12,11.58,10.68,10.15,0,0,0,36.27,19.03,32.34,29.71,AR,0.000434156,0.000289078,0.000723235,0.000535589,0.000275056,0.000810645,0.085283205,0.061940105,0.14722331,0.119870883,0.058935548,0.178806431,-0.107828161,-0.176633026,2.707317073,24.38452521,11.84185149,2.059181812,0.108
AR,G0501430,Fayetteville Drake Field,723445,36,-94.17,72703,5143,SPSO,13.91,4.39,0.385,12.12,6.18,1.95,0.195,11.42,0,0,0,0,0,0,0,0,0.33,0,5.95,1.88,0.09,11.54,14.06,12.97,12.32,0,0,0,36.34,19.1,31.72,32.07,AR,0.00063905,0.000260973,0.000900023,0.00065043,0.000251605,0.000902035,0.10146159,0.04506836,0.146529951,0.145573535,0.043450522,0.189024057,-0.002230294,-0.224807925,2.760820046,24.38452521,11.84185149,2.059181812,0.134
AR,G0501450,Batesville  Awos,723448,35.73,-91.65,72501,5145,SRMV,11.01,3.47,0.355,9.38,6.44,2.03,0.145,12.62,0,0,0,0,0,0,0,0,0.32,0,6.12,1.93,0.07,12.74,10.88,10.04,9.54,0,0,0,35.43,19.06,31.74,29.1,AR,0.000412583,0.000218966,0.000631549,0.000503494,0.000208179,0.000711673,0.080198569,0.046917319,0.127115888,0.112687609,0.044606121,0.15729373,-0.112585428,-0.191856611,2.703170029,24.38452521,11.84185149,2.059181812,0.108
AR,G0501470,Batesville  Awos,723448,35.73,-91.65,72501,5147,SRMV,11.01,3.47,0.355,9.38,6.44,2.03,0.145,12.62,0,0,0,0,0,0,0,0,0.32,0,6.12,1.93,0.07,12.74,10.88,10.04,9.54,0,0,0,35.43,19.06,31.74,29.1,AR,0.000412583,0.000218966,0.000631549,0.000503494,0.000208179,0.000711673,0.080198569,0.046917319,0.127115888,0.112687609,0.044606121,0.15729373,-0.112585428,-0.191856611,2.703170029,24.38452521,11.84185149,2.059181812,0.108
AR,G0501490,Memorial Fld,723415,34.47,-93.1,71913,5149,SRMV,8.36,2.64,0.305,7.7,8.58,2.71,0.105,16.44,0,0,0,0,0,0,0,0,0.275,0,8.23,2.6,0.055,16.6,8.91,8.22,7.8,0,0,0,35.17,19.02,32.35,27.24,AR,0.000317662,0.000292314,0.000609976,0.000412223,0.000280449,0.000692672,0.061015626,0.062633465,0.123649091,0.092260174,0.060091147,0.152351321,-0.119386563,-0.18839502,2.916666667,24.38452521,11.84185149,2.059181812,0.108
CA,G0600010,Hayward Air Term,724935,37.67,-122.12,94541,6001,CAMX,1.12,0.35,0.205,1.48,0.58,0.18,0.015,1.11,0,0,0,0,0,0,0,0,0.21,0,0.55,0.18,0.01,1.12,1.7,1.56,1.49,0,0,0,30.18,19.11,29.81,20.68,CA,3.38E-05,1.10E-05,4.48E-05,7.82E-05,1.10E-05,8.92E-05,0.017500658,0.009000338,0.026500996,0.02016128,0.009000338,0.029161618,-0.497985,-0.091237119,4.228571429,52.75498242,13.63548698,3.868947438,0.061
CA,G0600030,South Lake Tahoe,725847,38.9,-120,96150,6003,CAMX,39.94,12.61,0.84,34.53,0,0,0.52,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.25,0,40.02,36.92,35.07,0,0,0,43.39,19.49,30.38,56.41,CA,0.000819424,0,0.000819424,0.001851494,0,0.001851494,0.630523694,0,0.630523694,0.477150285,0,0.477150285,-0.557425433,0.321436273,2.738302934,52.75498242,13.63548698,3.868947438,0.061
CA,G0600050,South Lake Tahoe,725847,38.9,-120,96150,6005,CAMX,39.94,12.61,0.84,34.53,0,0,0.52,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.25,0,40.02,36.92,35.07,0,0,0,43.39,19.49,30.38,56.41,CA,0.000819424,0,0.000819424,0.001851494,0,0.001851494,0.630523694,0,0.630523694,0.477150285,0,0.477150285,-0.557425433,0.321436273,2.738302934,52.75498242,13.63548698,3.868947438,0.061
CA,G0600070,Yuba Co,724838,39.1,-121.57,95961,6007,CAMX,2.89,0.91,0.28,3.79,6.48,2.05,0.04,10.82,0,0,0,0,0,0,0,0,0.28,0,6.26,1.98,0.03,10.89,4.35,4.02,3.82,0,0,0,32.69,19.05,31.7,23.07,CA,7.25E-05,0.000124894,0.000197393,0.000201598,0.000120629,0.000322227,0.04550171,0.102503852,0.148005562,0.051954067,0.09900372,0.150957787,-0.38741085,-0.019556628,4.164835165,52.75498242,13.63548698,3.868947438,0.061
CA,G0600090,South Lake Tahoe,725847,38.9,-120,96150,6009,CAMX,39.94,12.61,0.84,34.53,0,0,0.52,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.25,0,40.02,36.92,35.07,0,0,0,43.39,19.49,30.38,56.41,CA,0.000819424,0,0.000819424,0.001851494,0,0.001851494,0.630523694,0,0.630523694,0.477150285,0,0.477150285,-0.557425433,0.321436273,2.738302934,52.75498242,13.63548698,3.868947438,0.061
CA,G0600110,Yuba Co,724838,39.1,-121.57,95961,6011,CAMX,2.89,0.91,0.28,3.79,6.48,2.05,0.04,10.82,0,0,0,0,0,0,0,0,0.28,0,6.26,1.98,0.03,10.89,4.35,4.02,3.82,0,0,0,32.69,19.05,31.7,23.07,CA,7.25E-05,0.000124894,0.000197393,0.000201598,0.000120629,0.000322227,0.04550171,0.102503852,0.148005562,0.051954067,0.09900372,0.150957787,-0.38741085,-0.019556628,4.164835165,52.75498242,13.63548698,3.868947438,0.061
CA,G0600130,Concord Concord Buchanan Fiel,724936,38,-122.05,94520,6013,CAMX,3.34,1.05,0.275,4.46,1.33,0.42,0.045,2.26,0,0,0,0,0,0,0,0,0.27,0,1.28,0.41,0.03,2.28,5.13,4.73,4.49,0,0,0,31.21,19.14,30.13,23.87,CA,8.07E-05,2.56E-05,0.000106312,0.000237204,2.50E-05,0.000262183,0.052501973,0.021000789,0.073502762,0.061130034,0.02050077,0.081630804,-0.594511953,-0.09957077,4.247619048,52.75498242,13.63548698,3.868947438,0.061
CA,G0600150,Crescent City Faa Ai,725946,41.78,-124.23,,6015,NWPP,6.3,1.99,0.515,9.35,0,0,0.085,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0.065,0,10.71,9.88,9.38,0,0,0,32.01,19.49,30,29.37,CA,0.000240179,0,0.000240179,0.00049547,0,0.00049547,0.099503739,0,0.099503739,0.127688104,0,0.127688104,-0.515249747,-0.220728198,4.698492462,52.75498242,13.63548698,3.868947438,0.096
CA,G0600170,South Lake Tahoe,725847,38.9,-120,96150,6017,CAMX,39.94,12.61,0.84,34.53,0,0,0.52,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0.25,0,40.02,36.92,35.07,0,0,0,43.39,19.49,30.38,56.41,CA,0.000819424,0,0.000819424,0.001851494,0,0.001851494,0.630523694,0,0.630523694,0.477150285,0,0.477150285,-0.557425433,0.321436273,2.738302934,52.75498242,13.63548698,3.868947438,0.061
CA,G0600190,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727,6019,CAMX,1.54,0.49,0.22,1.67,10.61,3.35,0.02,17.37,0,0,0,0,0,0,0,0,0.225,0,10.29,3.25,0.015,17.46,1.93,1.78,1.69,0,0,0,33.5,18.98,32.9,20.76,CA,4.33E-05,0.000204094,0.00024735,8.93E-05,0.000198002,0.000287267,0.024500921,0.167506295,0.192007215,0.023004537,0.162506107,0.185510644,-0.138953164,0.03501994,3.408163265,52.75498242,13.63548698,3.868947438,0.061
CA,G0600210,Red Bluff Municipal Arpt,725910,40.15,-122.25,96080,6021,CAMX,3.15,0.99,0.295,4.09,9.91,3.13,0.045,16.17,0,0,0,0,0,0,0,0,0.29,0,9.62,3.04,0.03,16.25,4.69,4.33,4.11,0,0,0,33.87,19.03,32.77,23.36,CA,7.83E-05,0.000190691,0.000268978,0.000217144,0.000185208,0.000402352,0.04950186,0.156505881,0.206007741,0.055960475,0.152005712,0.207966187,-0.331485999,-0.009417135,4.131313131,52.75498242,13.63548698,3.868947438,0.061
CA,G0600230,Arcata Airport,725945,40.98,-124.1,95519,6023,CAMX,6.31,1.99,0.495,7.98,0,0,0.085,0,0,0,0,0,0,0,0,0,0.485,0,0,0,0.055,0,9.16,8.45,8.03,0,0,0,31.99,19.47,29.96,27.92,CA,0.000151395,0,0.000151395,0.000423757,0,0.000423757,0.099503739,0,0.099503739,0.109206931,0,0.109206931,-0.642730827,-0.088851432,4.010050251,52.75498242,13.63548698,3.868947438,0.061
CA,G0600250,Imperial,747185,32.83,-115.58,92251,6025,AZNM,0,0,0.1,0,27.71,8.75,0,40.14,0,0,0,0,0,0,0,0,0.105,0,27.36,8.64,0.005,40.3,0,0,0,0,0,0,38.27,18.63,38.16,18.63,CA,1.27E-05,0.001109861,0.001122545,0,0.001095908,0.001095908,0,0.437516441,0.437516441,0,0.432016234,0.432016234,0.024305556,0.012731481,,52.75498242,13.63548698,3.868947438,0.127
CA,G0600270,Bishop Airport,724800,37.37,-118.35,93515,6027,CAMX,11.1,3.5,0.41,10.52,4.94,1.56,0.14,7.31,0,0,0,0,0,0,0,0,0.385,0,4.86,1.53,0.075,7.34,12.15,11.21,10.65,0,0,0,35.03,19.16,31.41,30.36,CA,0.000238212,9.50E-05,0.000333253,0.000562168,9.32E-05,0.000655381,0.175006576,0.078002931,0.253009508,0.144876888,0.076502875,0.221379762,-0.491513225,0.142875504,3.005714286,52.75498242,13.63548698,3.868947438,0.061
CA,G0600290,Bakersfield Meadows Field,723840,35.43,-119.05,93302,6029,CAMX,0.55,0.17,0.2,0.6,11.64,3.67,0.01,19.68,0,0,0,0,0,0,0,0,0.195,0,11.23,3.55,0.005,19.78,0.69,0.63,0.6,0,0,0,33.47,18.9,33.17,19.53,CA,2.25E-05,0.00022359,0.000246132,3.16E-05,0.000216279,0.000247873,0.008500319,0.183506896,0.192007215,0.008142055,0.17750667,0.185648726,-0.007024251,0.034250112,3.529411765,52.75498242,13.63548698,3.868947438,0.061
CA,G0600310,Lemoore Reeves Nas,747020,36.33,-119.95,,6031,CAMX,2.66,0.84,0.255,2.65,8.94,2.82,0.035,14.54,0,0,0,0,0,0,0,0,0.25,0,8.68,2.74,0.02,14.63,3.07,2.83,2.69,0,0,0,33.37,19,32.43,21.82,CA,6.67E-05,0.000171805,0.000238516,0.000141921,0.000166931,0.000308852,0.042001578,0.141005299,0.183006877,0.036574629,0.137005148,0.173579777,-0.227732742,0.054309895,3.154761905,52.75498242,13.63548698,3.868947438,0.061
CA,G0600330,Santa Rosa  Awos,724957,38.52,-122.82,95492,6033,CAMX,1.51,0.48,0.34,1.61,1.03,0.32,0.02,1.78,0,0,0,0,0,0,0,0,0.34,0,0.99,0.31,0.01,1.8,1.85,1.71,1.62,0,0,0,30.58,19.12,30.08,20.83,CA,5.00E-05,1.95E-05,6.95E-05,8.58E-05,1.89E-05,0.000104641,0.024000902,0.016000601,0.040001503,0.022099864,0.015500582,0.037600447,-0.336271903,0.063857126,3.354166667,52.75498242,13.63548698,3.868947438,0.061
CA,G0600350,Alturas,725958,41.5,-120.53,,6035,CAMX,28.52,9.01,0.685,25.07,0.57,0.18,0.365,0.83,0,0,0,0,0,0,0,0,0.6,0,0.57,0.18,0.18,0.84,29.03,26.78,25.44,0,0,0,39.66,19.34,30.38,46.12,CA,0.000590656,1.10E-05,0.000601622,0.001342985,1.10E-05,0.001353951,0.450516929,0.009000338,0.459517268,0.346101967,0.009000338,0.355102305,-0.555654772,0.294041917,2.782463929,52.75498242,13.63548698,3.868947438,0.061
CA,G0600370,Jack Northrop Fld H,722956,33.92,-118.33,90250,6037,CAMX,0,0,0.09,0,2.59,0.82,0,6.53,0,0,0,0,0,0,0,0,0.09,0,2.33,0.73,0,6.59,0,0,0,0,0,0,30.32,18.79,30.24,18.79,CA,5.48E-06,5.00E-05,5.54E-05,0,4.45E-05,4.45E-05,0,0.041001541,0.041001541,0,0.036501372,0.036501372,0.246575342,0.123287671,,52.75498242,13.63548698,3.868947438,0.061
CA,G0600390,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727,6039,CAMX,1.54,0.49,0.22,1.67,10.61,3.35,0.02,17.37,0,0,0,0,0,0,0,0,0.225,0,10.29,3.25,0.015,17.46,1.93,1.78,1.69,0,0,0,33.5,18.98,32.9,20.76,CA,4.33E-05,0.000204094,0.00024735,8.93E-05,0.000198002,0.000287267,0.024500921,0.167506295,0.192007215,0.023004537,0.162506107,0.185510644,-0.138953164,0.03501994,3.408163265,52.75498242,13.63548698,3.868947438,0.061
CA,G0600410,Napa Co  Airport,724955,38.22,-122.28,94503,6041,CAMX,4.79,1.51,0.355,6.05,0.06,0.02,0.065,0.09,0,0,0,0,0,0,0,0,0.355,0,0.06,0.02,0.045,0.09,6.95,6.41,6.09,0,0,0,31.36,19.3,29.83,25.72,CA,0.000113623,1.22E-06,0.000114841,0.000321454,1.22E-06,0.000322672,0.075502837,0.001000038,0.076502875,0.082842181,0.001000038,0.083842219,-0.644093352,-0.087537567,4.006622517,52.75498242,13.63548698,3.868947438,0.061
CA,G0600430,Merced Macready Fld,724815,37.28,-120.52,95341,6043,CAMX,2.15,0.68,0.25,2.59,6.11,1.93,0.03,10,0,0,0,0,0,0,0,0,0.25,0,5.92,1.87,0.02,10.06,2.98,2.75,2.61,0,0,0,32.31,19.02,31.56,21.77,CA,5.67E-05,0.000117583,0.000174242,0.000137909,0.000113927,0.000251837,0.034001278,0.096503626,0.130504904,0.035540717,0.093503514,0.129044231,-0.30811539,0.011319166,3.808823529,52.75498242,13.63548698,3.868947438,0.061
CA,G0600450,Ukiah Municipal Ap,725905,39.13,-123.2,95482,6045,CAMX,5.94,1.88,0.37,7.04,1.66,0.52,0.08,2.47,0,0,0,0,0,0,0,0,0.36,0,1.62,0.51,0.05,2.49,8.1,7.47,7.1,0,0,0,32.26,19.2,30.34,26.67,CA,0.000137078,3.17E-05,0.000168759,0.000374612,3.11E-05,0.000405683,0.094003532,0.026000977,0.12000451,0.096541512,0.025500958,0.12204247,-0.584012999,-0.016698784,3.744680851,52.75498242,13.63548698,3.868947438,0.061
CA,G0600470,Merced Macready Fld,724815,37.28,-120.52,95341,6047,CAMX,2.15,0.68,0.25,2.59,6.11,1.93,0.03,10,0,0,0,0,0,0,0,0,0.25,0,5.92,1.87,0.02,10.06,2.98,2.75,2.61,0,0,0,32.31,19.02,31.56,21.77,CA,5.67E-05,0.000117583,0.000174242,0.000137909,0.000113927,0.000251837,0.034001278,0.096503626,0.130504904,0.035540717,0.093503514,0.129044231,-0.30811539,0.011319166,3.808823529,52.75498242,13.63548698,3.868947438,0.061
CA,G0600490,Alturas,725958,41.5,-120.53,,6049,NWPP,28.52,9.01,0.685,25.07,0.57,0.18,0.365,0.83,0,0,0,0,0,0,0,0,0.6,0,0.57,0.18,0.18,0.84,29.03,26.78,25.44,0,0,0,39.66,19.34,30.38,46.12,CA,0.000929556,1.73E-05,0.000946815,0.001342985,1.73E-05,0.001360243,0.450516929,0.009000338,0.459517268,0.346101967,0.009000338,0.355102305,-0.303937355,0.294041917,2.782463929,52.75498242,13.63548698,3.868947438,0.096
CA,G0600510,Bishop Airport,724800,37.37,-118.35,93515,6051,CAMX,11.1,3.5,0.41,10.52,4.94,1.56,0.14,7.31,0,0,0,0,0,0,0,0,0.385,0,4.86,1.53,0.075,7.34,12.15,11.21,10.65,0,0,0,35.03,19.16,31.41,30.36,CA,0.000238212,9.50E-05,0.000333253,0.000562168,9.32E-05,0.000655381,0.175006576,0.078002931,0.253009508,0.144876888,0.076502875,0.221379762,-0.491513225,0.142875504,3.005714286,52.75498242,13.63548698,3.868947438,0.061
CA,G0600530,Salinas Muni AP,725930,36.667,-121.6,93905,6053,CAMX,3.11,0.98,0.3,4.4,0,0,0.04,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.03,0,5.04,4.65,4.42,0,0,0,30.74,19.32,29.75,23.97,CA,7.80E-05,0,7.80E-05,0.000233192,0,0.000233192,0.049001841,0,0.049001841,0.060096122,0,0.060096122,-0.665587211,-0.184608927,4.489795918,52.75498242,13.63548698,3.868947438,0.061
CA,G0600550,Napa Co  Airport,724955,38.22,-122.28,94503,6055,CAMX,4.79,1.51,0.355,6.05,0.06,0.02,0.065,0.09,0,0,0,0,0,0,0,0,0.355,0,0.06,0.02,0.045,0.09,6.95,6.41,6.09,0,0,0,31.36,19.3,29.83,25.72,CA,0.000113623,1.22E-06,0.000114841,0.000321454,1.22E-06,0.000322672,0.075502837,0.001000038,0.076502875,0.082842181,0.001000038,0.083842219,-0.644093352,-0.087537567,4.006622517,52.75498242,13.63548698,3.868947438,0.061
CA,G0600570,Truckee Tahoe,725846,39.32,-120.13,,6057,CAMX,43.43,13.71,0.925,37.66,0,0,0.595,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0.28,0,43.69,40.3,38.29,0,0,0,44.65,19.5,30.46,59.81,CA,0.000891619,0,0.000891619,0.002020997,0,0.002020997,0.685525761,0,0.685525761,0.520833057,0,0.520833057,-0.558822311,0.316210158,2.746900073,52.75498242,13.63548698,3.868947438,0.061
CA,G0600590,Santa Ana John Wayne Ap,722977,33.68,-117.87,92626,6059,CAMX,0,0,0.09,0,3.21,1.01,0,8.26,0,0,0,0,0,0,0,0,0.09,0,2.87,0.91,0,8.34,0,0,0,0,0,0,30.52,18.76,30.42,18.77,CA,5.48E-06,6.15E-05,6.70E-05,0,5.54E-05,5.54E-05,0,0.050501898,0.050501898,0,0.04550171,0.04550171,0.208791209,0.10989011,,52.75498242,13.63548698,3.868947438,0.061
CA,G0600610,Beale Afb,724837,39.13,-121.43,95903,6061,CAMX,2.41,0.76,0.26,2.5,8.33,2.63,0.03,13.9,0,0,0,0,0,0,0,0,0.26,0,8.06,2.54,0.02,13.98,2.88,2.66,2.52,0,0,0,33.1,19.05,32.24,21.7,CA,6.21E-05,0.000160229,0.000222372,0.000133396,0.000154746,0.000288142,0.038001428,0.131504942,0.16950637,0.034377567,0.127004773,0.161382339,-0.228257135,0.05034027,3.289473684,52.75498242,13.63548698,3.868947438,0.061
CA,G0600630,Truckee Tahoe,725846,39.32,-120.13,,6063,CAMX,43.43,13.71,0.925,37.66,0,0,0.595,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0.28,0,43.69,40.3,38.29,0,0,0,44.65,19.5,30.46,59.81,CA,0.000891619,0,0.000891619,0.002020997,0,0.002020997,0.685525761,0,0.685525761,0.520833057,0,0.520833057,-0.558822311,0.316210158,2.746900073,52.75498242,13.63548698,3.868947438,0.061
CA,G0600650,March Afb,722860,33.9,-117.25,92518,6065,CAMX,0.97,0.31,0.215,1.01,7.6,2.4,0.015,13.25,0,0,0,0,0,0,0,0,0.22,0,7.3,2.31,0.01,13.32,1.17,1.08,1.03,0,0,0,32.35,18.95,31.95,20.03,CA,3.20E-05,0.000146217,0.000178202,5.42E-05,0.000140734,0.000194895,0.015500582,0.12000451,0.135505092,0.013957809,0.11550434,0.129462149,-0.085649504,0.046677292,3.258064516,52.75498242,13.63548698,3.868947438,0.061
CA,G0600670,Sacramento Executive Arpt,724830,38.5,-121.5,95822,6067,CAMX,2.07,0.65,0.29,2.5,4.48,1.42,0.03,7.69,0,0,0,0,0,0,0,0,0.28,0,4.32,1.36,0.02,7.74,2.88,2.66,2.52,0,0,0,31.8,19.06,31.08,21.72,CA,5.73E-05,8.65E-05,0.00014378,0.000133396,8.29E-05,0.000216252,0.032501221,0.071002668,0.103503889,0.034377567,0.068002555,0.102380122,-0.335127846,0.010976423,3.846153846,52.75498242,13.63548698,3.868947438,0.061
CA,G0600690,Salinas Municipal Ap,724917,36.67,-121.6,93905,6069,CAMX,3.11,0.98,0.3,4.4,0,0,0.04,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.03,0,5.04,4.65,4.42,0,0,0,30.74,19.32,29.75,23.97,CA,7.80E-05,0,7.80E-05,0.000233192,0,0.000233192,0.049001841,0,0.049001841,0.060096122,0,0.060096122,-0.665587211,-0.184608927,4.489795918,52.75498242,13.63548698,3.868947438,0.061
CA,G0600710,Riverside Muni,722869,33.95,-117.45,92504,6071,CAMX,0.12,0.04,0.17,0.13,6.18,1.95,0,11.05,0,0,0,0,0,0,0,0,0.17,0,5.92,1.87,0,11.13,0.15,0.14,0.14,0,0,0,31.58,18.91,31.46,19.05,CA,1.28E-05,0.000118801,0.000131595,7.02E-06,0.000113927,0.000120948,0.002000075,0.097503664,0.099503739,0.001809346,0.093503514,0.095312859,0.088029815,0.043969721,3.25,52.75498242,13.63548698,3.868947438,0.061
CA,G0600730,San Diego Miramar Nas,722930,32.87,-117.13,92137,6073,CAMX,0.03,0.01,0.18,0.04,3.23,1.02,0,7.51,0,0,0,0,0,0,0,0,0.18,0,2.96,0.94,0,7.59,0.05,0.04,0.04,0,0,0,30.63,18.93,30.53,18.97,CA,1.16E-05,6.21E-05,7.37E-05,2.01E-06,5.73E-05,5.93E-05,0.000500019,0.051001917,0.051501935,0.000516956,0.047001766,0.047518722,0.243671622,0.083824081,4,52.75498242,13.63548698,3.868947438,0.061
CA,G0600750,San Francisco Intl Ap,724940,37.62,-122.4,94066,6075,CAMX,1.07,0.34,0.265,1.61,0,0,0.015,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0.01,0,1.85,1.7,1.62,0,0,0,30.03,19.3,29.69,21,CA,3.69E-05,0,3.69E-05,8.53E-05,0,8.53E-05,0.017000639,0,0.017000639,0.021970625,0,0.021970625,-0.567653135,-0.226210512,4.735294118,52.75498242,13.63548698,3.868947438,0.061
CA,G0600770,Stockton Metropolitan Arpt,724920,37.9,-121.23,95213,6077,CAMX,2.73,0.86,0.275,3.24,5.53,1.75,0.035,9.17,0,0,0,0,0,0,0,0,0.275,0,5.35,1.69,0.025,9.23,3.73,3.44,3.27,0,0,0,32.33,19.05,31.4,22.49,CA,6.91E-05,0.000106617,0.000175765,0.000172512,0.000102961,0.000275473,0.043001616,0.087503288,0.130504904,0.044458206,0.084503175,0.128961382,-0.361952145,0.011968872,3.76744186,52.75498242,13.63548698,3.868947438,0.061
CA,G0600790,San Luis Co Rgnl,722897,35.23,-120.63,93401,6079,CAMX,2.3,0.73,0.27,3.01,0.1,0.03,0.03,0.16,0,0,0,0,0,0,0,0,0.27,0,0.1,0.03,0.02,0.16,3.46,3.19,3.03,0,0,0,30.48,19.26,29.74,22.44,CA,6.09E-05,1.83E-06,6.28E-05,0.000159975,1.83E-06,0.000161802,0.036501372,0.001500056,0.038001428,0.041227232,0.001500056,0.042727288,-0.612172397,-0.110605203,4.123287671,52.75498242,13.63548698,3.868947438,0.061
CA,G0600810,San Francisco Intl Ap,724940,37.62,-122.4,94066,6081,CAMX,1.07,0.34,0.265,1.61,0,0,0.015,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0.01,0,1.85,1.7,1.62,0,0,0,30.03,19.3,29.69,21,CA,3.69E-05,0,3.69E-05,8.53E-05,0,8.53E-05,0.017000639,0,0.017000639,0.021970625,0,0.021970625,-0.567653135,-0.226210512,4.735294118,52.75498242,13.63548698,3.868947438,0.061
CA,G0600830,Santa Barbara Municipal Ap,723925,34.43,-119.85,93117,6083,CAMX,0.57,0.18,0.2,0.71,0.28,0.09,0.01,0.69,0,0,0,0,0,0,0,0,0.195,0,0.25,0.08,0.005,0.69,0.81,0.75,0.71,0,0,0,29.89,19.09,29.7,19.84,CA,2.32E-05,5.48E-06,2.86E-05,3.76E-05,4.87E-06,4.25E-05,0.009000338,0.004500169,0.013500507,0.009692923,0.00400015,0.013693073,-0.326025359,-0.014063015,3.944444444,52.75498242,13.63548698,3.868947438,0.061
CA,G0600850,San Jose Intl Ap,724945,37.37,-121.93,95110,6085,CAMX,2.25,0.71,0.23,2.95,0.55,0.17,0.03,1.09,0,0,0,0,0,0,0,0,0.23,0,0.52,0.16,0.02,1.1,3.39,3.13,2.97,0,0,0,30.56,19.14,29.83,22.27,CA,5.73E-05,1.04E-05,6.76E-05,0.000156966,9.75E-06,0.000166714,0.035501334,0.008500319,0.044001653,0.040451798,0.008000301,0.048452099,-0.594362111,-0.091852479,4.154929577,52.75498242,13.63548698,3.868947438,0.061
CA,G0600870,San Jose Intl Ap,724945,37.37,-121.93,95110,6087,CAMX,2.25,0.71,0.23,2.95,0.55,0.17,0.03,1.09,0,0,0,0,0,0,0,0,0.23,0,0.52,0.16,0.02,1.1,3.39,3.13,2.97,0,0,0,30.56,19.14,29.83,22.27,CA,5.73E-05,1.04E-05,6.76E-05,0.000156966,9.75E-06,0.000166714,0.035501334,0.008500319,0.044001653,0.040451798,0.008000301,0.048452099,-0.594362111,-0.091852479,4.154929577,52.75498242,13.63548698,3.868947438,0.061
